NUMBER,PREDIR,STNAME,STSUFFIX,POSTDIR,UNITTYPE,UNITNUM,MAILCITY,ZIP,ZIP+4,LAT,LONG,FEATID,COUNTYID,COUNTY,JURISDICTION,FIRECODE,POLCODE,EFFDATE,TDTCODE
7567,NW,100TH,AVE,,,,DORAL,33178,3432,25.84278292,-80.36027408,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
7585,NW,100TH,AVE,,,,DORAL,33178,3432,25.84295729,-80.36027914,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
7605,NW,100TH,AVE,,,,DORAL,33178,3433,25.84313167,-80.36028421,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
7625,NW,100TH,AVE,,,,DORAL,33178,3433,25.84330619,-80.36028934,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
7645,NW,100TH,AVE,,,,DORAL,33178,3433,25.84332633,-80.3655578,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
401,SW,100TH,AVE,,,,MIAMI,33174,1862,25.765162,-80.35869,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
411,SW,100TH,AVE,,,,MIAMI,33174,1862,25.765073,-80.358686,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
421,SW,100TH,AVE,,,,MIAMI,33174,1862,25.764984,-80.358682,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
430,SW,100TH,AVE,,,,SWEETWATER,33174,,25.764903,-80.358678,2405554,86,MIAMI-DADE,SWEETWATER,,912,01-01-22,0
431,SW,100TH,AVE,,,,MIAMI,33174,1862,25.764895,-80.358678,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1603,SW,100TH,AVE,,,,MIAMI,33165,7438,25.754345,-80.358499,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1604,SW,100TH,AVE,,,,MIAMI,33165,7439,25.754345,-80.358499,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
1613,SW,100TH,AVE,,,,MIAMI,33165,7438,25.754268,-80.358496,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1614,SW,100TH,AVE,,,,MIAMI,33165,7439,25.754242,-80.358494,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
1623,SW,100TH,AVE,,,,MIAMI,33165,7438,25.754166,-80.358491,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1624,SW,100TH,AVE,,,,MIAMI,33165,7439,25.754166,-80.358491,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
1633,SW,100TH,AVE,,,,MIAMI,33165,7438,25.754089,-80.358487,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1634,SW,100TH,AVE,,,,MIAMI,33165,7439,25.754089,-80.358487,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
1703,SW,100TH,AVE,,,,MIAMI,33165,7440,25.7535,-80.35846,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1704,SW,100TH,AVE,,,,MIAMI,33165,7441,25.753474,-80.358458,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1713,SW,100TH,AVE,,,,MIAMI,33165,7440,25.753398,-80.358455,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1714,SW,100TH,AVE,,,,MIAMI,33165,7441,25.753398,-80.358455,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1723,SW,100TH,AVE,,,,MIAMI,33165,7440,25.753321,-80.358451,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1724,SW,100TH,AVE,,,,MIAMI,33165,7441,25.753321,-80.358451,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1733,SW,100TH,AVE,,,,MIAMI,33165,7440,25.753244,-80.358448,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1734,SW,100TH,AVE,,,,MIAMI,33165,7441,25.753218,-80.358446,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1801,SW,100TH,AVE,,,,MIAMI,33165,7442,25.752655,-80.35842,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1804,SW,100TH,AVE,,,,MIAMI,33165,7443,25.75263,-80.358419,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
1813,SW,100TH,AVE,,,,MIAMI,33165,7442,25.752553,-80.358415,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1814,SW,100TH,AVE,,,,MIAMI,33165,7443,25.752527,-80.358414,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
1823,SW,100TH,AVE,,,,MIAMI,33165,7442,25.75245,-80.35841,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
1824,SW,100TH,AVE,,,,MIAMI,33165,7443,25.75245,-80.35841,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2000,SW,100TH,AVE,,,,MIAMI,33165,7532,25.75072,-80.35783,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2020,SW,100TH,AVE,,,,MIAMI,33165,7532,25.750536,-80.357824,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2021,SW,100TH,AVE,,,,MIAMI,33165,7531,25.750527,-80.357824,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
2030,SW,100TH,AVE,,,,MIAMI,33165,7532,25.750444,-80.357821,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2040,SW,100TH,AVE,,,,MIAMI,33165,7532,25.750352,-80.357818,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2100,SW,100TH,AVE,,,,MIAMI,33165,7534,25.7498,-80.3578,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2110,SW,100TH,AVE,,,,MIAMI,33165,7534,25.749709,-80.357795,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2120,SW,100TH,AVE,,,,MIAMI,33165,7534,25.749618,-80.35779,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2130,SW,100TH,AVE,,,,MIAMI,33165,7534,25.749527,-80.357785,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2135,SW,100TH,AVE,,,,MIAMI,33165,7533,25.749482,-80.357783,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
2145,SW,100TH,AVE,,,,MIAMI,33165,7533,25.749391,-80.357778,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
2155,SW,100TH,AVE,,,,MIAMI,33165,7533,25.749291,-80.357772,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
2200,SW,100TH,AVE,,,,MIAMI,33165,7536,25.74889,-80.35775,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2210,SW,100TH,AVE,,,,MIAMI,33165,7536,25.748799,-80.357746,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2220,SW,100TH,AVE,,,,MIAMI,33165,7536,25.748708,-80.357742,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2230,SW,100TH,AVE,,,,MIAMI,33165,7536,25.748617,-80.357738,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2255,SW,100TH,AVE,,,,MIAMI,33165,7535,25.748381,-80.357728,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
2291,SW,100TH,AVE,,,,MIAMI,33165,7535,25.748053,-80.357714,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
2301,SW,100TH,AVE,,,,MIAMI,33165,7537,25.747971,-80.35771,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
2820,SW,100TH,AVE,,,,MIAMI,33165,2925,25.74325,-80.35785,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2821,SW,100TH,AVE,,,,MIAMI,33165,2924,25.743232,-80.35785,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
2840,SW,100TH,AVE,,,,MIAMI,33165,2925,25.74307,-80.35785,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2841,SW,100TH,AVE,,,,MIAMI,33165,2924,25.743052,-80.35785,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
2900,SW,100TH,AVE,,,,MIAMI,33165,2927,25.74253,-80.35785,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
2901,SW,100TH,AVE,,,,MIAMI,33165,2926,25.742512,-80.35785,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
2920,SW,100TH,AVE,,,,MIAMI,33165,2927,25.74235,-80.35785,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3201,SW,100TH,AVE,,,,MIAMI,33165,3861,25.739791,-80.35772,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3221,SW,100TH,AVE,,,,MIAMI,33165,3861,25.739609,-80.357718,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3241,SW,100TH,AVE,,,,MIAMI,33165,3861,25.739427,-80.357716,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3371,SW,100TH,AVE,,,,MIAMI,33165,3865,25.73826,-80.35772,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3400,SW,100TH,AVE,,,,MIAMI,33165,3845,25.738,-80.35772,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3411,SW,100TH,AVE,,,,MIAMI,33165,3844,25.737897,-80.357721,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3420,SW,100TH,AVE,,,,MIAMI,33165,3845,25.737852,-80.357722,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3421,SW,100TH,AVE,,,,MIAMI,33165,3844,25.737793,-80.357722,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3431,SW,100TH,AVE,,,,MIAMI,33165,3844,25.73769,-80.357724,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3441,SW,100TH,AVE,,,,MIAMI,33165,3844,25.737586,-80.357725,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3500,SW,100TH,AVE,,,,MIAMI,33165,3847,25.73726,-80.35773,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3511,SW,100TH,AVE,,,,MIAMI,33165,3846,25.736903,-80.357734,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
3520,SW,100TH,AVE,,,,MIAMI,33165,3847,25.736954,-80.357734,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3521,SW,100TH,AVE,,,,MIAMI,33165,3846,25.736808,-80.357736,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,10-01-01,0
3530,SW,100TH,AVE,,,,MIAMI,33165,3868,25.736801,-80.357736,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3620,SW,100TH,AVE,,,,MIAMI,33165,3866,25.73599,-80.357736,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
3621,SW,100TH,AVE,,,,MIAMI,33165,3867,25.735978,-80.357736,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-03,0
